Avg_Screenwriter_Per_Screenwriter,Avg_Producer_Per_Producer,Avg_Director_Per_Director,budget,movies,starpower,Average_Billing,Movies_Producer_Per_Producer,Running_Time,Movies_Screenwriter_Per_Screenwriter,Sentiment_Score_imdb,Num_Executive,Movies_Director_Per_Director,Value,Genre_y_Action,Genre_y_Adventure,Genre_y_Comedy,Genre_y_Drama,Genre_y_Horror,Genre_y_Other,starpower,Genre_y_Thriller/Suspense,Num_Screenwriter,cluster,Year_x
0.0,109680371.5,107800060.0,40000000,3,198,0.1060606060606061,30.0,112.0,0.0,0.999408721923828,6,3.0,100.7425,0,0,0,0,1,0,198,0,1,1,2021
28223695.5,42235744.0,42235744.0,30000000,5,410,0.9166666666666666,1.0,87.0,2.0,0.9892088770866394,0,1.0,100.7425,0,1,0,0,0,0,410,0,2,0,2021
126362919.0,37690018.0,37349952.0,16000000,1,36,0.0185185185185185,6.2,92.0,5.0,0.9995038509368896,4,2.0,100.7425,0,0,0,0,0,0,36,1,1,0,2021
342148623.0,286968438.25,48909632.0,155000000,8,571,2.090909090909091,10.0,113.0,5.0,0.9719476699829102,4,11.0,100.7425,1,0,0,0,0,0,571,0,2,2,2021
149362387.5,116531536.25,125562706.0,45000000,8,491,0.75,3.25,93.0,4.5,0.9227818250656128,5,7.0,100.7425,0,1,0,0,0,0,491,0,2,1,2021
224565794.0,52725249.33333334,30792024.0,10000000,1,2,0.1,10.33333333333333,99.0,8.0,0.998050093650818,2,1.0,100.8929,0,0,0,0,1,0,2,0,1,0,2021
97703802.0,84414788.25,83508259.0,55000000,9,450,1.8,12.25,110.0,4.5,0.9978901743888856,6,1.0,100.8929,1,0,0,0,0,0,450,0,2,1,2021
2065891.0,27354816.66666667,93588351.0,29000000,3,169,0.1702127659574468,12.33333333333333,108.0,2.0,0.8163436055183411,9,6.0,100.8929,0,0,0,0,0,0,169,1,1,0,2021
81687047.33333333,65603571.5,170707440.0,40000000,3,209,0.3235294117647059,13.5,118.0,5.666666666666667,0.999344527721405,4,16.0,100.8929,1,0,0,0,0,0,209,0,3,1,2021
60180474.0,76825936.0,38215176.0,20000000,1,21,0.0178571428571428,8.5,93.0,3.5,0.9202035665512084,8,13.0,100.9998,0,0,0,0,1,0,21,0,2,0,2021
52598.0,51192.33333333334,35065.0,32000,0,0,0.0,2.333333333333333,84.0,2.0,0.9711471796035768,3,3.0,100.9998,0,0,0,1,0,0,0,0,1,0,2021
1560644.666666667,17602136.0,79155406.0,2300000,0,0,0.0,7.0,105.0,1.333333333333333,0.9421415328979492,6,9.0,100.9998,0,0,0,0,0,0,0,1,3,0,2021
352831434.0,258235965.0,301412150.0,200000000,10,797,0.9285714285714286,17.71428571428572,145.0,6.333333333333333,0.9941575527191162,0,10.0,100.9998,1,0,0,0,0,0,797,0,3,2,2021
214640529.0,117122218.5,126540055.0,61000000,4,324,1.071428571428571,17.75,96.0,3.0,0.9929614663124084,3,5.0,100.9998,0,0,0,0,1,0,324,0,1,1,2021
0.0,0.0,262500.0,1000000,0,0,0.0,0.0,128.0,0.0,0.9998527765274048,0,1.5,100.9998,0,0,1,0,0,0,0,0,0,0,2021
39310158.5,28689149.0,130330246.0,55000000,4,108,0.8333333333333334,6.6,120.0,4.0,0.9995601773262024,0,11.0,101.0087,0,0,0,0,0,1,108,0,2,0,2021
90552455.0,41652795.83333334,92215683.0,70000000,6,351,0.8071428571428572,13.5,118.0,3.0,0.994339406490326,0,5.0,101.0087,0,0,1,0,0,0,351,0,1,0,2021
0.0,0.0,8623956.0,3500000,0,0,0.0,0.0,97.0,0.0,0.9747135639190674,0,11.0,101.0087,0,0,1,0,0,0,0,0,0,0,2021
4527582.25,3375489.25,2599729.0,5000000,0,0,0.0,16.25,90.0,1.25,0.9952803254127502,0,2.0,101.0087,0,0,0,1,0,0,0,0,4,0,2021
301236896.0,146281732.0,414177214.0,82000000,0,0,0.0,1.0,107.0,7.0,0.999409556388855,0,7.0,100.7678,0,1,0,0,0,0,0,0,1,1,2021
62801190.5,197748786.0,95600448.0,15000000,5,207,0.75,57.0,88.0,3.5,0.6628116369247437,3,4.0,100.7678,0,0,0,0,1,0,207,0,4,0,2021
75453923.0,100774570.8333333,38711203.0,18000000,7,329,2.333333333333333,28.83333333333333,103.0,9.0,0.9663848280906676,3,2.0,100.7678,0,0,0,0,1,0,329,0,1,1,2021
3349127.0,2513596.0,1541672.0,15500000,3,165,0.2090909090909091,6.666666666666667,140.0,1.0,0.9997469782829284,0,5.0,100.7678,0,0,0,0,0,1,165,0,2,0,2021
424569440.0,755608372.0,96118513.0,200000000,8,617,1.476923076923077,38.0,133.0,4.0,0.9906402826309204,4,4.0,100.7678,1,0,0,0,0,0,617,0,1,1,2021
94898440.0,88901091.75,57202256.0,150000000,9,682,1.327586206896552,5.25,115.0,2.166666666666667,0.9997538924217224,9,13.0,100.7678,0,0,1,0,0,0,682,0,6,1,2021
